conv_id	turn	fresh	reused	kv_xfer_ms	kv_xfer_dur	kv_bw_gbps	kv_prep_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-073	26	12322	15088	22.093	22.092	178.631	0.812	371.554	277.312	-94.242
aa-rwlt-coding-agent-073	27	589	27410	23.737	23.736	8.184	0.805	173.753	129.961	-43.792
aa-rwlt-coding-agent-073	28	3161	27999	30.821	30.82	32.841	0.85	210.384	183.0	-27.385
aa-rwlt-coding-agent-073	29	5455	26105	31.857	31.856	55.2	0.871	247.76	220.796	-26.965
aa-rwlt-coding-agent-073	30	1234	31160	33.149	33.148	12.337	0.857	170.482	157.283	-13.198
aa-rwlt-coding-agent-073	31	1124	31560	33.972	33.971	10.834	0.883	175.053	161.122	-13.93
aa-rwlt-coding-agent-073	32	100	32684	34.211	34.209	1.195	0.877	160.218	142.088	-18.13
aa-rwlt-coding-agent-073	33	247	32784	35.034	35.032	2.627	0.88	155.572	144.217	-11.354
aa-rwlt-coding-agent-073	34	272	33031	35.663	35.662	2.58	0.897	166.432	146.875	-19.557
aa-rwlt-coding-agent-073	35	115	33303	36.474	36.473	1.402	0.883	156.003	142.413	-13.59
aa-rwlt-coding-agent-073	36	114	33418	35.76	35.758	1.144	0.877	157.823	148.464	-9.358
aa-rwlt-coding-agent-073	37	89	33532	36.278	36.276	1.127	0.895	158.03	142.156	-15.874
aa-rwlt-coding-agent-073	38	333	33621	37.18	37.178	3.3	0.912	165.256	148.408	-16.849
aa-rwlt-coding-agent-073	39	231	33954	37.855	37.854	2.161	0.902	155.793	148.13	-7.664
aa-rwlt-coding-agent-073	40	159	34185	38.623	38.622	1.588	0.915	160.736	148.951	-11.785
aa-rwlt-coding-agent-073	41	294	34344	38.876	38.874	2.63	0.915	160.36	150.961	-9.399
aa-rwlt-coding-agent-073	42	99	34638	39.978	39.976	1.023	0.912	169.949	154.401	-15.548
aa-rwlt-coding-agent-073	43	170	34737	39.811	39.81	1.541	0.925	165.329	153.749	-11.58
aa-rwlt-coding-agent-073	44	331	34907	40.538	40.537	3.026	0.937	167.069	155.042	-12.027
aa-rwlt-coding-agent-073	45	4289	32394	45.775	45.774	30.152	0.988	236.484	236.707	0.223
aa-rwlt-coding-agent-073	46	1903	35238	46.572	46.57	13.172	1.008	202.685	203.516	0.832
aa-rwlt-coding-agent-073	47	255	37141	47.22	47.219	1.949	1.001	169.891	173.345	3.454
aa-rwlt-coding-agent-073	48	1408	37396	51.71	51.709	8.897	1.054	191.948	199.798	7.851
aa-rwlt-coding-agent-073	49	495	38804	52.931	52.93	3.284	1.055	170.749	180.259	9.509
aa-rwlt-coding-agent-073	50	8219	36683	73.691	73.689	35.795	1.259	329.061	362.576	33.515
aa-rwlt-coding-agent-073	51	6127	39299	75.814	75.813	25.892	1.232	288.216	335.666	47.45
aa-rwlt-coding-agent-073	52	434	45426	77.035	77.034	1.991	1.224	178.912	214.143	35.231
aa-rwlt-coding-agent-073	53	491	45860	79.773	79.772	2.051	1.233	183.87	221.22	37.35
aa-rwlt-coding-agent-073	54	254	46351	80.791	80.79	1.139	1.251	179.143	217.852	38.709
aa-rwlt-coding-agent-073	55	157	46605	81.154	81.153	0.756	1.229	180.2	219.834	39.635
aa-rwlt-coding-agent-073	56	1066	46762	85.242	85.241	4.078	1.283	207.491	250.327	42.836
aa-rwlt-coding-agent-073	57	2999	44902	86.454	86.453	11.116	1.284	245.651	305.065	59.414
aa-rwlt-coding-agent-073	58	888	47828	89.049	89.048	3.329	1.285	202.52	246.421	43.902
aa-rwlt-coding-agent-073	59	319	48716	91.057	91.055	1.235	1.305	199.157	236.472	37.315
aa-rwlt-coding-agent-073	60	99	49035	91.277	91.275	0.448	1.321	181.596	234.317	52.722
aa-rwlt-coding-agent-073	61	278	49134	92.292	92.291	1.108	1.321	184.204	240.146	55.942
aa-rwlt-coding-agent-073	62	447	49412	95.049	95.048	1.613	1.331	190.971	246.658	55.687
aa-rwlt-coding-agent-073	63	407	49859	103.506	103.504	1.284	1.567	190.201	581.037	390.836
aa-rwlt-coding-agent-073	64	774	50266	106.391	106.389	2.402	1.444	201.997	281.628	79.631
aa-rwlt-coding-agent-073	65	461	51040	109.316	109.314	1.403	1.365	193.537	264.698	71.16
aa-rwlt-coding-agent-073	66	257	51501	109.412	109.411	0.841	1.371	189.976	261.73	71.754
aa-rwlt-coding-agent-073	67	226	51758	110.41	110.409	0.741	1.385	191.057	262.159	71.102
aa-rwlt-coding-agent-010	0	8189	2070	4.847	4.846	542.189	0.379	181.329	121.581	-59.749
aa-rwlt-coding-agent-010	1	8291	10259	13.635	13.634	194.966	0.563	211.168	166.238	-44.93
aa-rwlt-coding-agent-010	2	165	18550	11.37	11.368	5.396	0.515	126.425	79.996	-46.429
aa-rwlt-coding-agent-010	3	315	18715	8.675	8.673	12.966	0.532	125.16	78.973	-46.187
aa-rwlt-coding-agent-010	4	1830	19030	10.615	10.614	55.865	0.578	151.242	105.978	-45.264
aa-rwlt-coding-agent-010	5	1349	20860	12.273	12.271	36.657	0.605	143.5	103.782	-39.718
aa-rwlt-coding-agent-010	6	107	22209	11.667	11.665	3.506	0.618	123.52	90.209	-33.311
aa-rwlt-coding-agent-010	7	1395	22316	14.385	14.383	31.275	0.663	154.26	111.282	-42.978
aa-rwlt-coding-agent-010	8	99	23711	14.511	14.509	2.818	0.653	124.295	93.21	-31.085
aa-rwlt-coding-agent-010	9	1913	23810	17.927	17.926	34.219	0.711	159.597	128.411	-31.185
aa-rwlt-coding-agent-010	10	172	25723	17.944	17.943	3.988	0.702	134.552	109.953	-24.599
aa-rwlt-coding-agent-010	11	1266	25895	20.114	20.113	20.332	0.75	159.112	129.783	-29.328
aa-rwlt-coding-agent-010	12	152	27161	20.259	20.258	3.028	0.73	144.749	106.067	-38.682
aa-rwlt-coding-agent-010	13	725	27313	21.57	21.569	11.376	0.751	146.804	118.331	-28.473
aa-rwlt-coding-agent-010	14	862	28038	23.495	23.494	12.184	0.78	159.273	121.837	-37.437
aa-rwlt-coding-agent-010	15	597	28900	25.002	25.001	7.77	0.801	162.024	123.697	-38.327
aa-rwlt-coding-agent-010	16	831	29497	26.888	26.887	10.267	0.807	152.731	128.775	-23.957
aa-rwlt-coding-agent-010	17	248	30328	27.622	27.621	3.331	0.831	144.939	122.734	-22.206
aa-rwlt-coding-agent-010	18	663	30576	29.29	29.289	7.679	0.85	151.805	133.845	-17.96
aa-rwlt-coding-agent-010	19	128	31239	29.493	29.492	1.733	0.824	146.723	125.302	-21.422
aa-rwlt-coding-agent-010	20	1518	31367	33.317	33.316	14.73	0.895	169.329	155.46	-13.869
aa-rwlt-coding-agent-010	21	419	32885	35.652	35.651	4.015	0.93	152.54	139.247	-13.293
aa-rwlt-coding-agent-010	22	165	33304	36.439	36.438	1.683	0.946	180.738	141.151	-39.587
