conv_id	turn	fresh	reused	reuse_pct	kv_mb	kv_xfer_ms	wait_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-056	15	245	55843	99.563	40.219	248.832	265.822	79.905	408.188	328.283
aa-rwlt-coding-agent-056	16	1026	56088	98.204	20.719	219.648	236.424	99.857	337.949	238.092
aa-rwlt-coding-agent-056	17	503	57114	99.127	96.281	241.178	258.496	79.605	425.782	346.177
aa-rwlt-coding-agent-056	18	2485	57617	95.865	6.094	203.922	221.043	148.169	329.17	181.001
aa-rwlt-coding-agent-056	19	123	60102	99.796	7.312	170.126	187.16	86.168	298.592	212.424
aa-rwlt-coding-agent-056	20	168	60225	99.722	3.656	172.457	189.686	86.796	288.139	201.343
aa-rwlt-coding-agent-056	21	71	60393	99.883	4.875	173.992	191.026	81.634	288.916	207.282
aa-rwlt-coding-agent-056	22	89	60464	99.853	49.969	182.382	200.139	76.766	345.225	268.459
aa-rwlt-coding-agent-056	23	1302	60553	97.895	8.531	173.648	191.658	120.288	307.101	186.813
aa-rwlt-coding-agent-056	24	222	61855	99.642	8.531	176.98	194.996	87.161	301.891	214.73
aa-rwlt-coding-agent-056	25	211	62077	99.661	12.188	178.041	195.813	89.86	312.443	222.583
aa-rwlt-coding-agent-056	26	301	62288	99.519	41.438	203.822	222.205	88.773	361.396	272.623
aa-rwlt-coding-agent-056	27	1061	62589	98.333	13.406	208.845	226.957	121.096	342.569	221.473
aa-rwlt-coding-agent-056	28	329	63650	99.486	6.094	174.461	192.322	91.181	306.675	215.494
aa-rwlt-coding-agent-056	29	139	63979	99.783	57.281	211.471	230.078	91.137	386.322	295.185
aa-rwlt-coding-agent-056	30	1481	64118	97.742	15.844	205.283	224.531	139.023	341.999	202.976
aa-rwlt-coding-agent-056	31	407	65599	99.383	9.75	191.767	210.667	90.502	327.061	236.559
aa-rwlt-coding-agent-056	32	225	66006	99.66	4.875	196.882	215.543	86.539	328.48	241.941
aa-rwlt-coding-agent-056	33	96	66231	99.855	31.688	215.428	234.473	88.695	375.262	286.567
aa-rwlt-coding-agent-056	34	824	66327	98.773	43.875	225.635	244.907	119.445	395.983	276.538
aa-rwlt-coding-agent-056	35	1106	67151	98.38	15.844	216.314	235.28	124.035	355.831	231.796
aa-rwlt-coding-agent-056	36	390	68257	99.432	41.438	225.683	253.625	95.638	403.785	308.147
aa-rwlt-coding-agent-056	37	1070	68647	98.465	28.031	222.065	241.771	123.627	382.256	258.629
aa-rwlt-coding-agent-056	38	703	69717	99.002	67.031	276.731	296.985	117.717	474.639	356.922
aa-rwlt-coding-agent-056	39	1728	70420	97.605	104.812	352.663	373.662	148.199	576.813	428.614
aa-rwlt-coding-agent-056	40	2703	72148	96.389	12.188	278.522	299.175	177.578	424.695	247.117
aa-rwlt-coding-agent-056	41	295	74851	99.607	8.531	248.562	270.082	99.557	399.393	299.836
aa-rwlt-coding-agent-056	42	197	75146	99.739	24.375	267.518	288.639	96.797	441.185	344.388
aa-rwlt-coding-agent-056	43	624	75343	99.179	3.656	252.226	273.504	124.382	400.787	276.405
aa-rwlt-coding-agent-056	44	83	75967	99.891	4.875	253.445	275.58	102.79	400.609	297.819
aa-rwlt-coding-agent-056	45	88	76050	99.884	21.938	268.216	290.339	96.557	444.265	347.708
aa-rwlt-coding-agent-056	46	540	76138	99.296	4.875	269.721	290.833	127.302	417.098	289.796
aa-rwlt-coding-agent-056	47	112	76678	99.854	12.188	280.437	302.272	102.396	436.792	334.396
aa-rwlt-coding-agent-056	48	285	76790	99.63	4.875	265.917	287.476	107.243	415.574	308.331
aa-rwlt-coding-agent-056	49	121	77075	99.843	6.094	272.542	294.157	105.464	423.384	317.92
aa-rwlt-coding-agent-056	50	125	77196	99.838	17.062	284.185	305.697	103.357	447.943	344.586
aa-rwlt-coding-agent-056	51	430	77321	99.447	8.531	285.683	307.513	117.906	442.52	324.614
aa-rwlt-coding-agent-056	52	181	77751	99.768	12.188	275.331	297.136	106.104	430.319	324.215
aa-rwlt-coding-agent-056	53	294	77932	99.624	6.094	278.316	300.558	108.665	433.698	325.033
aa-rwlt-coding-agent-056	54	122	78226	99.844	7.312	284.4	306.379	103.296	442.699	339.403
aa-rwlt-coding-agent-056	55	159	78348	99.797	14.625	279.436	301.15	116.647	450.969	334.322
aa-rwlt-coding-agent-056	56	363	78507	99.54	39.0	305.995	328.644	120.17	502.471	382.301
aa-rwlt-coding-agent-056	57	976	78870	98.778	37.781	320.726	343.496	128.916	515.649	386.733
aa-rwlt-coding-agent-056	58	975	79846	98.794	31.688	327.302	349.858	130.229	528.802	398.573
aa-rwlt-coding-agent-056	59	783	80821	99.04	3.656	325.727	348.82	135.26	496.112	360.852
aa-rwlt-coding-agent-056	60	83	81604	99.898	354.656	6.342	21.329	111.228	141.541	30.313
aa-rwlt-coding-agent-073	0	7916	2028	20.394	17.062	4.006	9.368	98.653	52.044	-46.609
aa-rwlt-coding-agent-073	1	421	9944	95.938	90.188	4.678	10.1	35.974	74.696	38.722
aa-rwlt-coding-agent-073	2	2344	9944	80.924	51.188	5.309	11.101	55.747	67.215	11.468
aa-rwlt-coding-agent-073	3	1315	12288	90.333	40.219	5.888	12.214	46.255	73.979	27.724
aa-rwlt-coding-agent-073	4	1053	13603	92.815	18.281	5.948	12.822	50.93	61.783	10.853
aa-rwlt-coding-agent-073	5	469	14656	96.899	180.375	5.911	12.908	40.812	105.637	64.825
aa-rwlt-coding-agent-073	6	4724	10365	68.692	59.719	7.11	13.738	82.824	86.184	3.36
aa-rwlt-coding-agent-073	7	1541	15125	90.754	7.312	7.049	13.774	62.421	66.666	4.245
aa-rwlt-coding-agent-073	8	155	16666	99.079	8.531	6.679	13.709	42.343	65.826	23.483
aa-rwlt-coding-agent-073	9	180	16821	98.941	4.875	6.674	13.332	44.429	65.675	21.246
aa-rwlt-coding-agent-073	10	95	17001	99.444	24.375	7.4	14.467	43.921	70.324	26.403
aa-rwlt-coding-agent-073	11	621	17096	96.495	15.844	7.879	15.383	46.123	70.881	24.758
aa-rwlt-coding-agent-073	12	374	17717	97.933	8.531	7.877	15.267	46.172	70.29	24.118
aa-rwlt-coding-agent-073	13	191	18091	98.955	26.812	8.586	16.191	51.706	77.086	25.38
aa-rwlt-coding-agent-073	14	692	18282	96.353	47.531	10.608	18.465	48.897	88.738	39.841
aa-rwlt-coding-agent-073	15	1231	18974	93.907	13.406	10.803	18.943	58.486	78.683	20.197
