conv_id	turn	fresh	reused	reuse_pct	kv_mb	kv_xfer_ms	wait_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-010	20	1518	31368	95.384	58.5	42.045	52.997	78.91	147.646	68.736
aa-rwlt-coding-agent-010	21	419	32886	98.742	17.062	43.279	54.538	60.904	130.155	69.251
aa-rwlt-coding-agent-010	22	165	33305	99.507	7.312	44.634	56.182	60.004	132.734	72.73
aa-rwlt-coding-agent-010	23	913	33470	97.345	35.344	47.608	59.42	71.695	147.864	76.169
aa-rwlt-coding-agent-010	24	743	34383	97.885	29.25	49.804	61.446	71.85	147.666	75.816
aa-rwlt-coding-agent-010	25	887	35126	97.537	35.344	52.928	64.929	73.937	155.344	81.407
aa-rwlt-coding-agent-010	26	264	36013	99.272	10.969	54.207	67.068	67.439	148.177	80.738
aa-rwlt-coding-agent-010	27	269	36277	99.264	10.969	55.952	69.404	65.769	155.978	90.209
aa-rwlt-coding-agent-010	28	230	36546	99.375	9.75	55.808	67.849	65.75	149.735	83.985
aa-rwlt-coding-agent-010	29	691	36776	98.156	26.812	59.346	71.637	74.416	162.891	88.475
aa-rwlt-coding-agent-010	30	530	37467	98.605	21.938	60.398	73.193	74.26	164.431	90.171
aa-rwlt-coding-agent-010	31	407	37997	98.94	17.062	61.766	75.0	68.209	159.976	91.767
aa-rwlt-coding-agent-010	32	600	38404	98.462	23.156	64.334	77.186	76.691	170.31	93.619
aa-rwlt-coding-agent-010	33	318	39004	99.191	13.406	65.692	79.215	69.672	163.379	93.707
aa-rwlt-coding-agent-010	34	367	39322	99.075	15.844	66.98	80.585	72.318	166.456	94.138
aa-rwlt-coding-agent-010	35	663	39689	98.357	25.594	69.976	83.155	79.014	181.243	102.229
aa-rwlt-coding-agent-010	36	589	40352	98.561	23.156	71.964	85.396	79.609	182.859	103.25
aa-rwlt-coding-agent-010	37	208	40941	99.495	8.531	72.763	86.093	72.567	174.419	101.852
aa-rwlt-coding-agent-010	38	510	41149	98.776	19.5	75.103	88.404	78.668	180.439	101.771
aa-rwlt-coding-agent-010	39	246	41659	99.413	10.969	75.652	89.074	71.349	180.559	109.21
aa-rwlt-coding-agent-010	40	733	41905	98.281	29.25	78.974	92.884	83.786	194.627	110.841
aa-rwlt-coding-agent-010	41	2488	42638	94.487	96.281	90.108	104.027	124.339	248.358	124.019
aa-rwlt-coding-agent-010	42	145	45126	99.68	6.094	90.795	105.286	76.126	200.634	124.508
aa-rwlt-coding-agent-010	43	87	45271	99.808	3.656	90.868	105.541	75.817	198.918	123.101
aa-rwlt-coding-agent-010	44	1067	45358	97.702	41.438	95.264	109.901	113.023	233.537	120.514
aa-rwlt-coding-agent-010	45	85	46425	99.817	4.875	95.784	110.436	77.409	204.848	127.439
aa-rwlt-coding-agent-010	46	1071	46510	97.749	41.438	100.429	115.45	103.078	238.002	134.924
aa-rwlt-coding-agent-010	47	87	47581	99.817	3.656	100.936	115.884	77.602	211.762	134.16
aa-rwlt-coding-agent-010	48	201	47668	99.58	8.531	101.057	116.044	79.282	215.888	136.606
aa-rwlt-coding-agent-010	49	380	47869	99.212	14.625	103.394	118.394	85.093	219.776	134.683
aa-rwlt-coding-agent-010	50	533	48249	98.907	21.938	106.03	131.039	93.038	242.189	149.151
aa-rwlt-coding-agent-010	51	234	48782	99.523	9.75	107.116	122.345	81.604	225.246	143.642
aa-rwlt-coding-agent-010	52	839	49016	98.317	32.906	111.671	127.073	96.139	244.282	148.143
aa-rwlt-coding-agent-010	53	74	49855	99.852	3.656	111.258	126.75	88.192	228.124	139.932
aa-rwlt-coding-agent-010	54	1082	49929	97.879	42.656	117.258	133.227	109.681	263.029	153.348
aa-rwlt-coding-agent-010	55	1919	51011	96.374	74.344	132.302	150.448	128.917	307.638	178.721
aa-rwlt-coding-agent-010	56	1440	52930	97.351	56.062	139.093	156.601	117.72	297.753	180.033
aa-rwlt-coding-agent-010	57	1992	54370	96.466	76.781	149.004	167.523	136.798	328.66	191.862
aa-rwlt-coding-agent-010	58	187	56362	99.669	8.531	149.714	167.005	91.489	279.739	188.25
aa-rwlt-coding-agent-010	59	1564	56549	97.309	60.938	158.586	175.848	136.406	332.507	196.101
aa-rwlt-coding-agent-010	60	828	58113	98.595	31.688	162.524	179.892	109.834	313.57	203.736
aa-rwlt-coding-agent-010	61	804	58941	98.654	31.688	167.082	184.951	111.048	318.115	207.067
aa-rwlt-coding-agent-010	62	739	59745	98.778	29.25	171.703	189.754	111.387	321.73	210.343
aa-rwlt-coding-agent-010	63	659	60484	98.922	25.594	175.947	194.179	110.922	328.115	217.193
